"Job Name","Post Person Jobs","Provider","Salary Min","Salary Max","Job Type"
"倉庫内・軽作業／入出荷業務スタッフ","株式会社レイ・カズン デリバリーセンター","シフトワークス","￥930","","パートタイム"
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"倉庫軽作業","新雪運輸株式会社","engage","￥1000","￥1200","パートタイム"
"倉庫・物流・梱包スタッフ","ロジスティックスオペレーションサービス株式会社","モッピーバイト","￥1,130","","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店","ニフティアルバイト - @Nifty","￥1,140","￥1,425","パートタイム"
"仕分け・梱包・ピッキング・商品管理","シグマロジスティクス株式会社","エンバイト","￥1300","","パートタイム"
"倉庫内での軽作業スタッフ　","株式会社 清長","清長","￥950","","フルタイム"
"倉庫内での仕分け業務・未経験活躍中な仕事","240-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(日勤)-071","らくらくアルバイト","￥1,140","","パートタイム"
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"軽作業","楽天スーパーロジスティクス株式会社","engage","","","フルタイム"
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-223","シフトワークス","￥1,140","",""
"物流倉庫内での軽作業スタッフ　","株式会社 清長","柏の軽作業・倉庫作業なら「清長」","￥950","","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店","ニフティアルバイト - @Nifty","￥1,140","￥1,425","パートタイム"
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-297","らくらくアルバイト","￥1,140","","パートタイム"
"倉庫管理","株式会社ケンジン","engage","","","フルタイム"
"大手通販サイトの物流倉庫で軽作業","大手通販サイトの流山倉庫　　《マックスアルファ株式会社》","しゅふＪＯＢ","￥1200","￥1500",""
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"倉庫管理","株式会社フードサプライ","engage","￥1,250","￥1,500","パートタイム"
